no,name,scientificName,category,rarity,sizeMinCm,sizeMaxCm,habitatType,diet,behavior,danger,edibility,venomous,poisonous,description,lifeSpan,reproduction,migration,endangered,funFact,imageUrl,imageCrNotes,locations
14,Banded sea krait (yellow‑lipped),Laticauda colubrina,Creatures,3,80,140,"Reefs, comes ashore to rest, lay","Eels, small fish",Air-breathing; hunts eels; docile but highly venomous.,High – highly venomous (docile),No,TRUE,FALSE,Banded sea krait (yellow‑lipped): occasional reefs near Nusa Penida (ledges) (harmless) in Bali,Several yrs,Egg‑laying on land,Local foraging circuits,Not globally endangered,Amphibious lifestyle (land & sea),https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Banded_Sea_Krait_%28Laticauda_colubrina%29_%2814641328165%29.jpg/2560px-Banded_Sea_Krait_%28Laticauda_colubrina%29_%2814641328165%29.jpg,"By Bernard DUPONT from FRANCE - Banded Sea Krait (Laticauda colubrina), CC BY-SA 2.0, https://commons.wikimedia.org/w/index.php?curid=40774232","Nusa Penida (ledges), Padang Bai, Menjangan"
15,Reef octopus,Octopus cyanea,Creatures,4,20,100,"Shallow reefs, rubble flats","Crabs, mollusks, small fish","Nocturnal, curious; changes color; forages on reef.",Medium – beak bite; mild venom,Yes in general cuisine; mostly observed in Bali,TRUE,FALSE,Reef octopus: common shallow reefs near Amed (caution needed) in Bali,~1–2 yrs,Semelparous; female guards eggs then dies,Small home ranges,Not threatened,Masters of color/texture change,https://reefguide.org/pix/dayoctopus8.jpg,.,"Amed, Tulamben (evening, night), Padang Bai"
16,Mimic octopus,Thaumoctopus mimicus,Creatures,3,15,60,"Muck, sandy bottoms","Crustaceans, small fish",Sediment flats; imitates other animals; diurnal.,Medium – bite possible; mild venom,No – observe only,TRUE,FALSE,Mimic octopus: occasional muck near Amed (caution needed) in Bali,~1–2 yrs,Semelparous; egg‑brooding,Sedentary small ranges,Data Deficient,"Imitates lionfish, flatfish, sea snake",https://octonation.com/wp-content/uploads/2020/10/mimicoctopus6_web-scaled.jpg,.,"Amed, Sub‑site: Seraya Secrets, Tulamben (muck)"
17,Coconut octopus,Amphioctopus marginatus,Creatures,3,12,40,"Muck, sand, uses shells, coconuts","Crabs, clams","Collects shells; bipedal walking; intelligent, shy.",Medium – bite; mild venom,No – observe only,TRUE,FALSE,Coconut octopus: occasional muck near Amed (caution needed) in Bali,~1–2 yrs,Egg‑brooding; female guards,Local movements,Not widely assessed,Carries shells as mobile armor,https://octonation.com/wp-content/uploads/2020/10/coconutoctopus13_web-1536x1024.jpg,.,"Amed, Sub‑site: Seraya Secrets, Tulamben (sand flats)"
18,Broadclub cuttlefish,Sepia latimanus,Creatures,4,30,50,"Reefs, seagrass edges","Crustaceans, fish",Color-wave displays; ambushes fish; often diurnal.,Low,"Yes – grilled, stir‑fried",FALSE,FALSE,Broadclub cuttlefish: common reefs near Padang Bai in Bali,~1–2 yrs,Grape‑like egg clusters on corals/seagrass,Local seasonal moves,Not threatened,Dynamic color waves for communication,https://www.marinebio.org/wp-content/uploads/2017/05/broadclub-cuttlefish.png,.,"Padang Bai, Nusa Penida, Menjangan"
19,Flamboyant cuttlefish,Metasepia pfefferi,Creatures,3,6,8,"Muck flats, sandy bottoms",Small crustaceans & fish,Toxic flesh; walks on arms; flashing colors.,Low to handlers; reputed toxic tissues,No – possible toxicity,FALSE,TRUE,Flamboyant cuttlefish: occasional muck flats near Puri Jati (Lovina) in Bali,~1–2 yrs,Eggs under ledges/debris,Sedentary,Data Deficient,Walks on arms with vivid displays,https://upload.wikimedia.org/wikipedia/commons/f/fc/Flamboyant_Cuttlefish.jpg,"By Silke Baron from Vienna, Austria - Flamboyant Cuttlefish, CC BY 2.0, https://commons.wikimedia.org/w/index.php?curid=11090252","Puri Jati (Lovina), Amed, Tulamben (muck)"
20,Bigfin reef squid,Sepioteuthis lessoniana,Creatures,4,30,60,"Seagrass, nearshore waters","Small fish, crustaceans",Schooling; rapid color change; pelagic at night.,Low,"Yes – grilled, fried, satay",FALSE,FALSE,Bigfin reef squid: common seagrass near Sanur in Bali,~1 yr,Egg capsules on seagrass/ropes,Short coastal moves,Not threatened,Rapid color changes in schools,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Bigfin_reef_squid_%2811760%29.jpg/1920px-Bigfin_reef_squid_%2811760%29.jpg,"By Rhododendrites - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=58864846","Sanur, Tanjung Benoa (jetties), Padang Bai (jetty), Amed (night)"
21,Peacock mantis shrimp,Odontodactylus scyllarus,Creatures,3,10,18,"Reef rubble, burrows","Crabs, snails",Burrower; powerful smash strikes; bright coloration.,High to hands – explosive punch,Sometimes eaten; mostly observed,FALSE,FALSE,Peacock mantis shrimp: occasional reef rubble near Tulamben in Bali,Several yrs,Complex mating; egg brooding,Burrow‑based territories,Not listed as threatened,Sees polarized light; devastating strike,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Odontodactylus_scyllarus_Réunion.jpg/2560px-Odontodactylus_scyllarus_Réunion.jpg,"By Cédric Péneau - The uploader on Wikimedia Commons received this from the author/copyright holder., CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=117431670","Tulamben, Sub‑site: Liberty rubble, Padang Bai"
22,Crown‑of‑thorns starfish,Acanthaster planci,Creatures,3,25,35,"Coral reefs, outbreak species",Live coral polyps,Coral predator; outbreaks harm reefs; venomous spines.,High – venomous spines; painful wounds,No,TRUE,FALSE,Crown‑of‑thorns starfish: occasional coral reefs near Amed (caution needed) in Bali,~3–4+ yrs,Broadcast spawner; high fecundity,Crawls; larvae drift,Not endangered (problem when overabundant),Consumes coral tissue rapidly,https://upload.wikimedia.org/wikipedia/commons/8/8f/CrownofThornsStarfish_Fiji_2005-10-12.jpg,"By Matt Wright - Own work, using a Canon PowerShot S410, CC BY 2.5, https://commons.wikimedia.org/w/index.php?curid=379049","Amed, Tulamben, Menjangan, Padang Bai, Nusa Penida"
23,Blue sea star,Linckia laevigata,Creatures,4,20,40,"Shallow reefs, seagrass","Biofilm, detritus",Slow grazer/scavenger; regenerates arms; gentle.,Low,No,FALSE,FALSE,Blue sea star: common shallow reefs near Padang Bai in Bali,Several yrs,Spawning; can clone from fragments,Minimal; slow,Least Concern,Regrows arms; vivid blue,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Linckia_laevigata_Tonga.jpg/1920px-Linckia_laevigata_Tonga.jpg,"By dr.scott.mills - Flickr: PA300576, CC BY-SA 2.0, https://commons.wikimedia.org/w/index.php?curid=32877827","Padang Bai, Menjangan, Sanur seagrass"
24,Green turtle,Chelonia mydas,Creatures,4,80,120,"Reefs, seagrass, coastal waters","Seagrass, algae",Calm grazer; surfaces to breathe; site-faithful.,Low – do not harass,No – protected,FALSE,FALSE,Green turtle: common reefs near Nusa Penida in Bali,Decades,Beach nesting; clutches of eggs,Long migrations,Endangered,Adults mainly herbivorous,https://upload.wikimedia.org/wikipedia/commons/b/bb/Hawaii_turtle_2.JPG,"By Brocken Inaglory, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=2483099","Nusa Penida, Sub‑site: Toyapakeh, Menjangan, Padang Bai"
25,Spinner dolphin,Stenella longirostris,Creatures,4,130,230,"Offshore, coastal, often bow‑riding","Small fish, squid",Offshore pods; acrobatic spins; approaches boats.,Low – wild animal; keep distance,No – protected,FALSE,FALSE,Spinner dolphin: common offshore near Lovina offshore (dawn) in Bali,20–30+ yrs,Live‑bearing; ~12‑mo gestation,Local/regional following prey,Varies by stock,Acrobatic spinning leaps,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/A_spinner_dolphin_in_the_Red_Sea.jpg/1920px-A_spinner_dolphin_in_the_Red_Sea.jpg,"By Alexander Vasenin - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=25108509","Lovina offshore (dawn), North Bali coast"
26,Staghorn coral (branching),Acropora palifera (rep. Bali spp.),Corals,4,20,200,"Shallow flats, slopes, North Bali, Menjangan",Symbionts + plankton capture,Sessile branching coral; fast-growing; wave-exposed zones.,Low–Medium – sharp branches; mild sting,No,TRUE,FALSE,Staghorn coral (branching): common shallow flats near Menjangan (caution needed) in Bali,Decades (colonies),Broadcast spawner; fragments easily,Sessile; larvae drift,Varies by species,Fast‑growing habitat former,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Hertshoon.jpg/2560px-Hertshoon.jpg,"By Albert Kok at Dutch Wikipedia(Original text: albert kok) - Transferred from nl.wikipedia to Commons., Public Domain, https://commons.wikimedia.org/w/index.php?curid=2098168","Menjangan, Pemuteran (Biorock, restoration), Amed reefs"
27,Bird’s nest coral,Seriatopora hystrix,Corals,4,20,50,"Current‑swept slopes, Menjangan, Penida",Symbionts + zooplankton,Delicate branching; high-flow habitats; polyps extend at night.,Low – fragile; mild sting,No,TRUE,FALSE,Bird’s nest coral: common current‑swept slopes near Menjangan (caution needed) in Bali,Years–decades,Brooding/spawning; fragments easily,Sessile; planula drift,Least Concern,Delicate branches shelter small fish,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Seriatopora_hystrix.jpg/500px-Seriatopora_hystrix.jpg,"By Faol - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=9822487","Menjangan, Amed, Tulamben, Padang Bai, Nusa Penida"
28,Long‑tentacle plate coral,Heliofungia actiniformis,Corals,4,20,40,"Sandy patches, Nusa Penida, slopes",Zooplankton + symbionts,Solitary plate coral; long waving tentacles; daytime extension.,Low – mild sting; delicate,No,TRUE,FALSE,Long‑tentacle plate coral: common sandy patches near Menjangan (caution needed) in Bali,Years,Sexual spawning; asexual budding,Sessile/free‑living on sand,Near Threatened in some lists,Free‑living single polyp resembling anemone,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Anemone_Coral_%28Heliofungia_actiniformis%29_%288491771017%29.jpg/500px-Anemone_Coral_%28Heliofungia_actiniformis%29_%288491771017%29.jpg,"By Bernard DUPONT from FRANCE - Anemone Coral (Heliofungia actiniformis), CC BY-SA 2.0, https://commons.wikimedia.org/w/index.php?curid=40734783","Menjangan, Amed, Tulamben, Padang Bai, Nusa Penida"
29,Sun coral (azooxanthellate),Tubastraea coccinea,Corals,4,5,20,"Wrecks, overhangs (Tulamben Liberty)",Zooplankton,Azooxanthellate; polyps open at night; non-photosynthetic.,Low – sticky sting for prey,No,TRUE,FALSE,Sun coral (azooxanthellate): common wrecks near Tulamben (caution needed) in Bali,Years,Brooding & budding; spreads on structures,Sessile; larvae drift,Not globally threatened,Lacks symbionts; must capture food,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Coral_sol_%28Tubastraea_coccinea%29%2C_Cabo_Pulmo%2C_Baja_California%2C_México%2C_2024-12-19%2C_DD_22.jpg/1920px-Coral_sol_%28Tubastraea_coccinea%29%2C_Cabo_Pulmo%2C_Baja_California%2C_México%2C_2024-12-19%2C_DD_22.jpg,"By Diego Delso, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=164697130","Tulamben, Sub‑site: USAT Liberty (overhangs)"
30,Sea fan (gorgonian),Annella / Melithaea spp.,Corals,4,50,200,"Walls, drop‑offs, Menjangan dense",Plankton (azooxanthellate),Fan-shaped gorgonian; filter-feeding in currents; sessile.,Low – fragile; mild sting,No,TRUE,FALSE,Sea fan (gorgonian): common walls near Menjangan (walls) (caution needed) in Bali,Years–decades,Broadcast spawner; branch growth,Sessile; larvae drift,Not broadly assessed,Home to pygmy seahorses in NW Bali,https://upload.wikimedia.org/wikipedia/commons/9/9d/Melithaea_ochracea3.jpg,"By Anders Poulsen, Deep Blue (http://www.colours.dk/) - http://www.colours.dk/anders/diving/corals/gorgonian/gorgonian.html, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=18440019","Menjangan (walls), Amed (wall)"
31,Indo-Pacific bottlenose dolphin,Tursiops aduncus,Creatures,3,200,270,"Coastal reefs, Channels, Bali–Lombok Strait","Fish, squid, crustaceans",Highly social pods; bow-riding and foraging around current lines.,Low,Protected — do not consume.,FALSE,FALSE,Smaller bottlenose with speckled belly in adults; frequent coastal visitor.,30–50 years,Single calf ~12-month gestation; calving every 3–6 years; extended maternal care.,Resident and short-range movements along straits and coasts.,IUCN: Near Threatened,Uses signature whistles—names—to keep track of pod mates.,https://upload.wikimedia.org/wikipedia/commons/8/87/Tursiops_aduncus%2C_Port_River%2C_Adelaide%2C_Australia_-_2003.jpg,"By Aude Steiner - Self-photographed, CC BY-SA 1.0, https://commons.wikimedia.org/w/index.php?curid=19212453","Amed – Melasti, Seraya Secrets, Tulamben – Coral Garden, Padang Bai – Jetty"
32,Pantropical spotted dolphin,Stenella attenuata,Creatures,2,160,260,"Offshore pelagic, Bali–Lombok Strait",Small fish and squid,"Fast, acrobatic schools; often mixed-species groups offshore.",Low,Protected — do not consume.,FALSE,FALSE,Slender beak; adults develop heavy spotting—especially offshore form.,~40 years,Single calf after ~11–12 months; long juvenile period.,Offshore movements tracking prey and currents; passes through strait.,IUCN: Least Concern,Spotting increases with age—calves are almost spotless.,https://www.fisheries.noaa.gov/s3//dam-migration/5184x3456-pantropical-spotted-dolphin-guam.jpg?itok=NhGwzx3d,By Marie C. Hill,"Amed – Melasti, Seraya Secrets, Tulamben – Coral Garden, Padang Bai – Jetty"
33,Risso’s dolphin,Grampus griseus,Creatures,2,300,380,"Deep slope waters, Straits",Mainly squid,Deep diver; adults covered in white scars from social interactions and prey.,Low,Protected — do not consume.,FALSE,FALSE,"Blunt head, tall dorsal fin, grey body that whitens with age.",~30–35+ years,Single calf after ~13–14 months.,Regional movements along deep-water corridors.,IUCN: Least Concern,Teeth mostly in the lower jaw—unusual among dolphins.,https://www.dolphinsafari.com/wp-content/uploads/sites/5012/2019/12/Rissos-Dolphin-Jumping-9976_copyright-Dolphin-Safari.jpg?auto=compress%2Cformat&w=1024&h=1024&fit=max,.,"Amed – Melasti, Seraya Secrets, Tulamben – Coral Garden, Padang Bai – Jetty"
34,Short-finned pilot whale,Globicephala macrorhynchus,Creatures,2,350,610,"Offshore, Bali–Lombok Strait","Squid, mesopelagic fishes",Matriarchal pods; tight social bonds and mass strandings recorded worldwide.,Low,Varies by species; check toxicity; often not eaten.,FALSE,FALSE,"Bulbous head, dark body; powerful, coordinated hunters.",45+ years,Single calf after ~15 months; long calf dependency.,Broad roaming with prey layers; passes Indonesian straits episodically.,IUCN: Least Concern,Nicknamed “cheetahs of the deep” for sprint chases on dives.,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Globicephala_macrorhynchus_Kurzflossen-Grindwal_DSCF8148.JPG/2560px-Globicephala_macrorhynchus_Kurzflossen-Grindwal_DSCF8148.JPG,"By Foto: Martina Nolte, Lizenz: Creative Commons by-sa-3.0 de, CC BY-SA 3.0 de, https://commons.wikimedia.org/w/index.php?curid=18553895","Amed – Melasti, Seraya Secrets, Tulamben – Coral Garden, Padang Bai – Jetty"
35,Sperm whale,Physeter macrocephalus,Creatures,1,1100,1600,"Deep oceanic waters, Straits drop-offs",Large squids and fish at great depths,Extreme deep diver using powerful echolocation clicks.,Low,Varies by species; check toxicity; often not eaten.,FALSE,FALSE,Largest toothed whale with massive square head.,60–70 years,Single calf after ~14–16 months; slow population growth.,Long-distance seasonal movements; rare in the strait.,IUCN: Vulnerable,Produces the ocean’s loudest biological sound.,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Mother_and_baby_sperm_whale.jpg/2560px-Mother_and_baby_sperm_whale.jpg,"By Gabriel Barathieu - https://www.flickr.com/photos/barathieu/7277953560/, CC BY-SA 2.0, https://commons.wikimedia.org/w/index.php?curid=24212362","Amed – Melasti, Seraya Secrets, Tulamben – Coral Garden, Padang Bai – Jetty"
36,Bryde’s whale,Balaenoptera edeni/brydei,Creatures,2,1200,1550,"Warm offshore waters, Straits",Small schooling fish and krill,Baleen lunge-feeder; three ridges on the head are a field mark.,Low,Varies by species; check toxicity; often not eaten.,FALSE,FALSE,Sleek rorqual occasionally transiting Indonesian passages.,50+ years (est.),Single calf after ~12 months.,Regional movements; less migratory than many baleen whales.,IUCN: Least Concern,"Often feeds just below bait balls, pushing prey to the surface.",https://au.whales.org/wp-content/uploads/sites/3/2018/07/brydes-whale-jirayu-tour-ekkul-sg.jpg,.,"Amed – Melasti, Seraya Secrets, Tulamben – Coral Garden, Padang Bai – Jetty"
37,Yellow-bellied sea snake,Hydrophis platurus,Creatures,2,60,110,"Open-ocean slicks, Drift lines near Bali",Small fish at the surface,Truly pelagic; aggregates in calm slicks driven by currents.,High,Varies by species; check toxicity; often not eaten.,TRUE,FALSE,"Black top, bright yellow belly; occasionally drifts into Bali waters.",5–10 years (est.),Live-bearing (viviparous) at sea.,Current-driven drift; vagrant to Bali.,IUCN: Least Concern,Can absorb oxygen through skin—helpful at the surface.,https://upload.wikimedia.org/wikipedia/commons/b/bd/Hydrophis_platurus_32924548.jpg,"By Luis Correa - https://www.inaturalist.org/photos/32924548, CC BY 4.0, https://commons.wikimedia.org/w/index.php?curid=97102789","Amed – Melasti, Seraya Secrets, Tulamben – Coral Garden, Padang Bai – Jetty"
38,Saltwater crocodile,Crocodylus porosus,Creatures,1,270,600,"Estuaries, Coastal seas (rare vagrant)","Fish, birds, mammals",Solitary ambush predator; capable of long sea voyages.,High,Varies by species; check toxicity; often not eaten.,FALSE,FALSE,Very rare vagrant around Bali; extreme caution on remote coasts.,50–70+ years,Egg-laying in nests; strong parental guarding.,Dispersal across seas; individuals can travel hundreds of km.,IUCN: Least Concern (protected in many nations),Largest living reptile; salt glands enable life at sea.,https://images.theconversation.com/files/554133/original/file-20231016-29-woipe3.jpg?ixlib=rb-4.1.0&rect=60%2C1116%2C6720%2C3360&q=45&auto=format&w=1356&h=668&fit=crop,.,"Amed – Melasti, Seraya Secrets, Tulamben – Coral Garden, Padang Bai – Jetty"
